,Max_Horizontal,Num_Horizontal_Twos,Max_Vertical,Num_Vertical_Twos,Positives,p
0,1,0.0,1,0.0,1,0.05
1,1,0.0,1,0.0,2,0.05
2,2,1.0,2,1.0,3,0.05
3,2,1.0,2,1.0,4,0.05
4,2,1.0,2,1.0,5,0.05
5,2,1.0,2,1.0,6,0.05
6,2,1.0,2,1.0,7,0.05
7,2,2.0,2,2.0,8,0.05
8,2,2.0,2,2.0,9,0.05
9,3,2.0,3,2.0,10,0.05
10,3,2.0,3,2.0,11,0.05
11,3,3.0,3,3.0,12,0.05
12,3,3.0,3,3.0,13,0.05
13,3,3.0,3,3.0,14,0.05
14,3,4.0,3,3.0,15,0.05
15,3,4.0,3,4.0,16,0.05
16,3,4.0,3,4.0,17,0.05
17,4,5.0,4,4.0,18,0.05
18,4,5.0,4,5.0,19,0.05
19,4,5.0,4,5.0,20,0.05
20,4,6.0,4,5.0,21,0.05
21,4,6.0,4,6.0,22,0.05
22,4,6.0,4,6.0,23,0.05
23,4,7.0,4,7.0,24,0.05
24,5,7.0,4,7.0,25,0.05
25,5,8.0,4,7.0,26,0.05
26,5,8.0,5,8.0,27,0.05
27,5,8.0,5,8.0,28,0.05
28,5,9.0,5,9.0,29,0.05
29,5,9.0,5,9.0,30,0.05
30,5,10.0,5,9.0,31,0.05
31,5,10.0,5,10.0,32,0.05
32,6,10.0,5,10.0,33,0.05
33,6,11.0,5,11.0,34,0.05
34,6,11.0,6,11.0,35,0.05
35,6,12.0,6,12.0,36,0.05
36,6,12.0,6,12.0,37,0.05
37,6,13.0,6,13.0,38,0.05
38,7,13.0,6,13.0,39,0.05
39,7,14.0,6,13.0,40,0.05
40,7,14.0,6,14.0,41,0.05
41,7,15.0,6,14.0,42,0.05
42,7,15.0,7,15.0,43,0.05
43,7,16.0,7,15.0,44,0.05
44,8,16.0,7,16.0,45,0.05
45,8,17.0,7,16.0,46,0.05
46,8,17.0,7,17.0,47,0.05
47,8,18.0,7,18.0,48,0.05
48,8,18.0,7,18.0,49,0.05
49,8,19.0,7,19.0,50,0.05
50,9,20.0,8,19.0,51,0.05
51,9,20.0,8,20.0,52,0.05
52,9,21.0,8,20.0,53,0.05
53,9,21.0,8,21.0,54,0.05
54,9,22.0,8,21.0,55,0.05
55,10,22.0,8,22.0,56,0.05
56,10,23.0,8,22.0,57,0.05
57,10,23.0,8,23.0,58,0.05
58,10,,8,,59,0.05
59,11,,8,,60,0.05
60,11,,8,,61,0.05
61,11,,8,,62,0.05
62,11,,8,,63,0.05
63,12,,8,,64,0.05
64,12,,8,,65,0.05
65,12,,8,,66,0.05
66,12,,8,,67,0.05
67,12,,8,,68,0.05
68,12,,8,,69,0.05
69,12,,8,,70,0.05
70,12,,8,,71,0.05
71,12,,8,,72,0.05
72,12,,8,,73,0.05
73,12,,8,,74,0.05
74,12,,8,,75,0.05
75,12,,8,,76,0.05
76,12,,8,,77,0.05
77,12,,8,,78,0.05
78,12,,8,,79,0.05
79,12,,8,,80,0.05
80,12,,8,,81,0.05
81,12,,8,,82,0.05
82,12,,8,,83,0.05
83,12,,8,,84,0.05
84,12,,8,,85,0.05
85,12,,8,,86,0.05
86,12,,8,,87,0.05
87,12,,8,,88,0.05
88,12,,8,,89,0.05
89,12,,8,,90,0.05
90,12,,8,,91,0.05
91,12,,8,,92,0.05
92,12,,8,,93,0.05
